week_ending,influenza_season,estimate,mmwr_year,mmwr_week,as_of_date,race_and_ethnicity,current_season_week_ending_label
2022-03-12T00:00:00.000,2021-2022,39.68,2022,10,,"Black, Non-Hispanic",2026-03-07 00:00:00.0000000
2022-03-19T00:00:00.000,2021-2022,39.75,2022,11,,"Black, Non-Hispanic",2026-03-14 00:00:00.0000000
2022-03-26T00:00:00.000,2021-2022,39.81,2022,12,,"Black, Non-Hispanic",2026-03-21 00:00:00.0000000
2022-04-02T00:00:00.000,2021-2022,39.87,2022,13,,"Black, Non-Hispanic",2026-03-28 00:00:00.0000000
2022-04-09T00:00:00.000,2021-2022,39.900000000000006,2022,14,,"Black, Non-Hispanic",2026-04-04 00:00:00.0000000
2022-04-16T00:00:00.000,2021-2022,39.92,2022,15,,"Black, Non-Hispanic",2026-04-11 00:00:00.0000000
2022-04-23T00:00:00.000,2021-2022,39.95,2022,16,,"Black, Non-Hispanic",2026-04-18 00:00:00.0000000
2022-04-30T00:00:00.000,2021-2022,39.97,2022,17,,"Black, Non-Hispanic",2026-04-25 00:00:00.0000000
2022-05-07T00:00:00.000,2021-2022,39.99,2022,18,,"Black, Non-Hispanic",2026-05-02 00:00:00.0000000
2022-05-14T00:00:00.000,2021-2022,40.0,2022,19,,"Black, Non-Hispanic",2026-05-09 00:00:00.0000000
2022-05-21T00:00:00.000,2021-2022,40.02,2022,20,,"Black, Non-Hispanic",2026-05-16 00:00:00.0000000
2022-05-28T00:00:00.000,2021-2022,40.03,2022,21,,"Black, Non-Hispanic",2026-05-23 00:00:00.0000000
2022-01-01T00:00:00.000,2021-2022,49.51,2021,52,,"Other, Non-Hispanic",2025-12-27 00:00:00.0000000
2022-01-08T00:00:00.000,2021-2022,49.86,2022,1,,"Other, Non-Hispanic",2026-01-03 00:00:00.0000000
2022-01-15T00:00:00.000,2021-2022,50.2,2022,2,,"Other, Non-Hispanic",2026-01-10 00:00:00.0000000
2022-01-22T00:00:00.000,2021-2022,50.44,2022,3,,"Other, Non-Hispanic",2026-01-17 00:00:00.0000000
2022-01-29T00:00:00.000,2021-2022,50.66,2022,4,,"Other, Non-Hispanic",2026-01-24 00:00:00.0000000
2022-02-05T00:00:00.000,2021-2022,50.82,2022,5,,"Other, Non-Hispanic",2026-01-31 00:00:00.0000000
2022-02-12T00:00:00.000,2021-2022,50.98,2022,6,,"Other, Non-Hispanic",2026-02-07 00:00:00.0000000
2022-02-19T00:00:00.000,2021-2022,51.11,2022,7,,"Other, Non-Hispanic",2026-02-14 00:00:00.0000000
2022-02-26T00:00:00.000,2021-2022,51.2,2022,8,,"Other, Non-Hispanic",2026-02-21 00:00:00.0000000
2022-03-05T00:00:00.000,2021-2022,51.29,2022,9,,"Other, Non-Hispanic",2026-02-28 00:00:00.0000000
2022-03-12T00:00:00.000,2021-2022,51.370000000000005,2022,10,,"Other, Non-Hispanic",2026-03-07 00:00:00.0000000
2022-03-19T00:00:00.000,2021-2022,51.43,2022,11,,"Other, Non-Hispanic",2026-03-14 00:00:00.0000000
2022-03-26T00:00:00.000,2021-2022,51.48,2022,12,,"Other, Non-Hispanic",2026-03-21 00:00:00.0000000
2022-04-02T00:00:00.000,2021-2022,51.54,2022,13,,"Other, Non-Hispanic",2026-03-28 00:00:00.0000000
2022-04-09T00:00:00.000,2021-2022,51.57000000000001,2022,14,,"Other, Non-Hispanic",2026-04-04 00:00:00.0000000
2022-04-16T00:00:00.000,2021-2022,51.59,2022,15,,"Other, Non-Hispanic",2026-04-11 00:00:00.0000000
2020-11-21T00:00:00.000,2020-2021,38.3,2020,47,,"Black, Non-Hispanic",2025-11-15 00:00:00.0000000
2020-11-28T00:00:00.000,2020-2021,38.87,2020,48,,"Black, Non-Hispanic",2025-11-22 00:00:00.0000000
2020-12-05T00:00:00.000,2020-2021,39.58,2020,49,,"Black, Non-Hispanic",2025-11-29 00:00:00.0000000
2020-12-12T00:00:00.000,2020-2021,40.22,2020,50,,"Black, Non-Hispanic",2025-12-06 00:00:00.0000000
2020-12-19T00:00:00.000,2020-2021,40.69,2020,51,,"Black, Non-Hispanic",2025-12-13 00:00:00.0000000
2020-12-26T00:00:00.000,2020-2021,40.93,2020,52,,"Black, Non-Hispanic",2025-12-20 00:00:00.0000000
2021-01-02T00:00:00.000,2020-2021,41.15,2020,53,,"Black, Non-Hispanic",2025-12-27 00:00:00.0000000
2021-01-09T00:00:00.000,2020-2021,41.41,2021,1,,"Black, Non-Hispanic",2026-01-03 00:00:00.0000000
2021-01-16T00:00:00.000,2020-2021,41.64,2021,2,,"Black, Non-Hispanic",2026-01-10 00:00:00.0000000
2021-01-23T00:00:00.000,2020-2021,41.82,2021,3,,"Black, Non-Hispanic",2026-01-17 00:00:00.0000000
2021-01-30T00:00:00.000,2020-2021,41.97,2021,4,,"Black, Non-Hispanic",2026-01-24 00:00:00.0000000
2021-02-06T00:00:00.000,2020-2021,42.08,2021,5,,"Black, Non-Hispanic",2026-01-31 00:00:00.0000000
2021-02-13T00:00:00.000,2020-2021,42.18,2021,6,,"Black, Non-Hispanic",2026-02-07 00:00:00.0000000
2021-02-20T00:00:00.000,2020-2021,42.24,2021,7,,"Black, Non-Hispanic",2026-02-14 00:00:00.0000000
2021-02-27T00:00:00.000,2020-2021,42.32,2021,8,,"Black, Non-Hispanic",2026-02-21 00:00:00.0000000
